ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2022
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e of CO2,2.28297
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e of CH4,0.02576
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e of N2O,0.02175
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e,0.25658
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e of CO2,0.25135
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e of CH4,0.00284
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e of N2O,0.00239
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e,0.24375
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e of CO2,0.23878
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e of CH4,0.00269
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),kg CO2e of N2O,0.00228
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e,3181.43
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e of CO2,3149.67
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e of CH4,1.96
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,kg CO2e of N2O,29.8
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e,2.54514
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e of CO2,2.51973
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e of CH4,0.00157
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,litres,kg CO2e of N2O,0.02384
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e,0.26086
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e of CO2,0.25826
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e of CH4,0.00016
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),kg CO2e of N2O,0.00244
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e,0.24782
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e of CO2,0.24535
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e of CH4,0.00015
1,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),kg CO2e of N2O,0.00232
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e,3165.01
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e of CO2,3149.67
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e of CH4,7.5
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,tonnes,kg CO2e of N2O,7.84
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e,2.54013
1,Scope 1,Fuels,Liquid fuels,Burning oil,,,litres,kg CO2e of CO2,2.52782
